iter	Passed	Remaining
0	226	565997
1	318	397788
2	408	339679
3	506	315760
4	602	300618
5	689	286678
6	785	279818
7	877	273354
8	966	267567
9	1060	263977
10	1152	260705
11	1243	257770
12	1335	255416
13	1426	253218
14	1515	250992
15	1607	249525
16	1700	248359
17	1795	247539
18	1890	246909
19	1982	245864
20	2075	244981
21	2168	244222
22	2260	243494
23	2351	242549
24	2446	242198
25	2540	241741
26	2638	241694
27	2732	241234
28	2824	240670
29	2916	240116
30	3009	239689
31	3100	239128
32	3193	238701
33	3283	238130
34	3374	237633
35	3465	237166
36	3556	236762
37	3647	236309
38	3741	236085
39	3834	235820
40	3929	235668
41	4021	235357
42	4113	235029
43	4205	234748
44	4297	234442
45	4388	234109
46	4478	233746
47	4576	233783
48	4669	233585
49	4763	233430
50	4856	233228
51	4946	232889
52	5042	232802
53	5134	232574
54	5225	232296
55	5324	232387
56	5417	232184
57	5509	231959
58	5604	231874
59	5696	231654
60	5789	231484
61	5882	231305
62	5976	231185
63	6066	230909
64	6157	230685
65	6252	230569
66	6344	230391
67	6442	230403
68	6531	230114
69	6625	229994
70	6720	229902
71	6814	229800
72	6906	229606
73	6995	229354
74	7086	229143
75	7176	228900
76	7267	228683
77	7358	228501
78	7448	228269
79	7540	228100
80	7629	227862
81	7720	227669
82	7809	227405
83	7902	227291
84	7994	227128
85	8087	227004
86	8184	227005
87	8283	227041
88	8383	227109
89	8475	226952
90	8566	226780
91	8659	226665
92	8752	226539
93	8844	226386
94	8936	226242
95	9035	226260
96	9130	226190
97	9218	225952
98	9306	225704
99	9396	225522
100	9487	225344
101	9577	225164
102	9667	224983
103	9756	224784
104	9848	224630
105	9941	224532
106	10033	224398
107	10126	224282
108	10218	224156
109	10308	223981
110	10401	223864
111	10491	223698
112	10585	223607
113	10674	223420
114	10774	223450
115	10867	223344
116	10960	223229
117	11051	223096
118	11138	222867
119	11229	222724
120	11320	222583
121	11411	222435
122	11502	222281
123	11595	222191
124	11685	222027
125	11775	221863
126	11863	221669
127	11953	221513
128	12045	221393
129	12137	221271
130	12229	221157
131	12317	220970
132	12406	220802
133	12497	220661
134	12586	220494
135	12676	220348
136	12764	220162
137	12858	220079
138	12954	220044
139	13049	219977
140	13143	219895
141	13230	219701
142	13323	219608
143	13421	219589
144	13513	219471
145	13605	219359
146	13696	219241
147	13787	219103
148	13877	218962
149	13972	218901
150	14064	218787
151	14158	218705
152	14249	218580
153	14339	218439
154	14433	218361
155	14524	218247
156	14621	218211
157	14716	218142
158	14773	217521
159	14866	217419
160	14965	217411
161	15056	217299
162	15153	217268
163	15251	217245
164	15353	217269
165	15448	217208
166	15538	217074
167	15631	216984
168	15790	217793
169	15973	218928
170	16077	218967
171	16179	218989
172	16358	220040
173	16554	221303
174	16653	221247
175	16767	221407
176	16884	221590
177	16995	221708
178	17131	222131
179	17249	222330
180	17454	223631
181	17553	223561
182	17655	223534
183	17816	224255
184	17978	224968
185	18123	225478
186	18268	225958
187	18396	226243
188	18528	226554
189	18640	226626
190	18742	226577
191	18841	226492
192	18934	226331
193	19045	226380
194	19145	226311
195	19251	226308
196	19349	226197
197	19446	226094
198	19546	226008
199	19643	225900
200	19742	225813
201	19837	225674
202	19934	225567
203	20031	225453
204	20130	225367
205	20226	225237
206	20327	225175
207	20432	225150
208	20526	225008
209	20624	224908
210	20724	224823
211	20819	224694
212	20914	224557
213	21095	225346
214	21240	225737
215	21338	225630
216	21438	225550
217	21538	225457
218	21630	225291
219	21730	225205
220	21833	225152
221	21932	225053
222	22028	224927
223	22076	224311
224	22167	224134
225	22265	224030
226	22363	223927
227	22462	223835
228	22563	223762
229	22663	223677
230	22697	222950
231	22787	222771
232	22885	222667
233	23008	222808
234	23111	222750
235	23206	222626
236	23307	222555
237	23408	222483
238	23508	222400
239	23606	222294
240	23704	222192
241	23805	222118
242	23904	222024
243	24009	221993
244	24106	221875
245	24207	221800
246	24304	221696
247	24403	221601
248	24499	221483
249	24601	221413
250	24697	221290
251	24795	221188
252	24898	221130
253	25003	221097
254	25106	221033
255	25203	220928
256	25253	220401
257	25344	220239
258	25445	220167
259	25543	220070
260	25640	219958
261	25738	219855
262	25839	219783
263	25970	219961
264	26068	219857
265	26166	219756
266	26265	219667
267	26361	219546
268	26460	219453
269	26563	219397
270	26665	219324
271	26763	219228
272	26862	219134
273	26965	219070
274	27069	219018
275	27164	218893
276	27260	218776
277	27358	218667
278	27456	218568
279	27504	218072
280	27596	217921
281	27695	217830
282	27790	217712
283	27892	217637
284	27986	217512
285	28086	217424
286	28185	217333
287	28283	217232
288	28379	217118
289	28486	217089
290	28589	217022
291	28686	216918
292	28785	216826
293	28889	216768
294	28997	216741
295	29094	216637
296	29193	216539
297	29290	216436
298	29387	216327
299	29484	216222
300	29578	216088
301	29681	216027
302	29777	215911
303	29874	215806
304	29972	215706
305	30072	215617
306	30168	215504
307	30264	215388
308	30367	215321
309	30462	215202
310	30558	215087
311	30657	214994
312	30758	214913
313	30865	214877
314	30963	214775
315	31060	214669
316	31169	214644
317	31268	214552
318	31367	214459
319	31465	214359
320	31564	214263
321	31660	214153
322	31759	214054
323	31861	213984
324	31963	213906
325	32057	213784
326	32153	213669
327	32253	213581
328	32350	213473
329	32445	213356
330	32553	213317
331	32660	213275
332	32761	213197
333	32858	213087
334	32954	212976
335	33049	212852
336	33142	212722
337	33239	212614
338	33335	212499
339	33429	212377
340	33525	212264
341	33626	212182
342	33724	212081
343	33824	211990
344	33921	211886
345	34018	211782
346	34119	211697
347	34215	211585
348	34313	211484
349	34423	211458
350	34526	211388
351	34632	211339
352	34736	211274
353	34837	211191
354	34938	211108
355	35039	211022
356	35138	210932
357	35238	210839
358	35335	210735
359	35434	210638
360	35542	210596
361	35650	210556
362	35751	210468
363	35851	210379
364	35956	210319
365	36057	210239
366	36157	210145
367	36254	210036
368	36354	209950
369	36455	209863
370	36558	209793
371	36663	209731
372	36758	209614
373	36869	209581
374	36967	209481
375	37070	209410
376	37166	209297
377	37263	209189
378	37360	209083
379	37459	208981
380	37556	208878
381	37657	208789
382	37754	208687
383	37851	208576
384	37964	208560
385	38062	208453
386	38159	208346
387	38259	208256
388	38361	208179
389	38472	208146
390	38570	208043
391	38671	207957
392	38769	207854
393	38872	207782
394	38970	207675
395	39067	207570
396	39165	207469
397	39265	207376
398	39362	207268
399	39459	207162
400	39566	207109
401	39666	207017
402	39769	206941
403	39865	206828
404	39963	206724
405	40055	206589
406	40152	206486
407	40255	206407
408	40358	206331
409	40455	206223
410	40554	206128
411	40650	206016
412	40748	205912
413	40844	205802
414	40941	205693
415	41036	205576
416	41130	205456
417	41223	205327
418	41319	205216
419	41416	205109
420	41513	205003
421	41611	204904
422	41709	204802
423	41813	204726
424	41911	204625
425	42006	204510
426	42108	204429
427	42211	204349
428	42311	204260
429	42408	204152
430	42506	204049
431	42601	203936
432	42699	203834
433	42796	203729
434	42892	203615
435	42989	203511
436	43094	203440
437	43192	203339
438	43292	203247
439	43387	203134
440	43484	203025
441	43581	202918
442	43679	202817
443	43781	202737
444	43878	202628
445	43974	202518
