iter	Passed	Remaining
0	223	557617
1	304	380318
2	393	327640
3	477	297784
4	566	282502
5	650	270279
6	732	261002
7	811	252841
8	893	247190
9	975	242934
10	1058	239584
11	1147	237841
12	1228	235070
13	1317	234006
14	1401	232185
15	1487	230982
16	1588	232029
17	1698	234214
18	1791	233964
19	1879	232997
20	1963	231741
21	2050	230967
22	2142	230715
23	2229	230056
24	2311	228827
25	2421	230394
26	2520	230895
27	2610	230491
28	2694	229605
29	2774	228467
30	2852	227185
31	2947	227336
32	3028	226376
33	3106	225292
34	3193	224925
35	3279	224462
36	3363	223896
37	3446	223286
38	3523	222367
39	3617	222491
40	3705	222251
41	3785	221521
42	3870	221146
43	3949	220468
44	4030	219880
45	4114	219524
46	4202	219318
47	4280	218680
48	4362	218233
49	4442	217663
50	4524	217270
51	4608	216962
52	4689	216495
53	4772	216180
54	4854	215789
55	4934	215348
56	5018	215080
57	5111	215199
58	5193	214872
59	5278	214659
60	5361	214374
61	5447	214225
62	5538	214238
63	5623	214032
64	5724	214460
65	5810	214286
66	5892	213989
67	5978	213806
68	6066	213723
69	6152	213575
70	6233	213253
71	6310	212802
72	6396	212669
73	6476	212337
74	6560	212113
75	6640	211786
76	6716	211344
77	6797	211079
78	6873	210648
79	6958	210481
80	7042	210331
81	7126	210137
82	7208	209904
83	7297	209885
84	7383	209790
85	7467	209619
86	7552	209471
87	7632	209205
88	7711	208892
89	7794	208727
90	7879	208583
91	7959	208331
92	8040	208096
93	8116	207750
94	8216	208012
95	8295	207724
96	8374	207461
97	8458	207331
98	8539	207095
99	8620	206891
100	8704	206749
101	8790	206674
102	8873	206511
103	8972	206706
104	9059	206653
105	9151	206681
106	9238	206618
107	9323	206487
108	9408	206384
109	9496	206342
110	9584	206288
111	9684	206480
112	9772	206438
113	9855	206271
114	9937	206095
115	10040	206352
116	10137	206485
117	10225	206420
118	10318	206459
119	10404	206357
120	10491	206273
121	10579	206210
122	10663	206070
123	10752	206039
124	10848	206112
125	10931	205962
126	11026	206025
127	11113	205940
128	11194	205747
129	11283	205712
130	11366	205545
131	11450	205413
132	11528	205173
133	11606	204926
134	11693	204847
135	11784	204846
136	11869	204733
137	11951	204556
138	12028	204304
139	12145	204734
140	12250	204953
141	12344	204985
142	12429	204869
143	12519	204831
144	12628	205100
145	12712	204963
146	12789	204715
147	12868	204497
148	12949	204316
149	13025	204062
150	13108	203920
151	13191	203771
152	13276	203667
153	13363	203583
154	13446	203431
155	13533	203343
156	13620	203269
157	13701	203089
158	13754	202509
159	13837	202368
160	13918	202209
161	14000	202060
162	14080	201879
163	14158	201669
164	14243	201567
165	14331	201501
166	14411	201335
167	14495	201213
168	14577	201068
169	14683	201251
170	14781	201318
171	14868	201238
172	14954	201152
173	15038	201031
174	15076	200303
175	15164	200244
176	15248	200127
177	15339	200096
178	15422	199972
179	15502	199816
180	15592	199772
181	15677	199678
182	15759	199532
183	15838	199364
184	15922	199251
185	16001	199074
186	16078	198869
187	16160	198741
188	16236	198530
189	16317	198388
190	16394	198191
191	16468	197970
192	16552	197863
193	16634	197724
194	16713	197567
195	16796	197441
196	16880	197344
197	16968	197276
198	17080	197500
199	17187	197655
200	17268	197508
201	17356	197447
202	17438	197325
203	17527	197274
204	17612	197173
205	17689	196989
206	17773	196878
207	17854	196747
208	17940	196655
209	18019	196502
210	18115	196524
211	18195	196371
212	18272	196191
213	18379	196337
214	18468	196279
215	18559	196249
216	18643	196145
217	18731	196075
218	18814	195959
219	18892	195795
220	18980	195734
221	19057	195549
222	19136	195397
223	19174	194830
224	19247	194616
225	19323	194427
226	19404	194304
227	19481	194126
228	19564	194022
229	19643	193874
230	19670	193209
231	19744	193016
232	19823	192874
233	19900	192710
234	19985	192625
235	20070	192544
236	20156	192466
237	20238	192348
238	20328	192313
239	20410	192197
240	20492	192082
241	20603	192247
242	20688	192156
243	20773	192071
244	20854	191947
245	20939	191857
246	21023	191760
247	21115	191739
248	21220	191836
249	21304	191739
250	21385	191616
251	21464	191479
252	21558	191467
253	21641	191362
254	21723	191254
255	21809	191170
256	21848	190683
257	21936	190626
258	22022	190552
259	22104	190437
260	22192	190381
261	22273	190263
262	22360	190194
263	22444	190095
264	22527	189995
265	22611	189898
266	22692	189788
267	22778	189704
268	22858	189577
269	22902	189157
270	22977	188990
271	23057	188870
272	23142	188785
273	23226	188697
274	23310	188605
275	23390	188483
276	23417	187931
277	23496	187803
278	23575	187677
279	23657	187568
280	23738	187461
281	23820	187350
282	23903	187258
283	23979	187106
284	24063	187018
285	24143	186898
286	24224	186790
287	24308	186706
288	24388	186586
289	24475	186516
290	24553	186389
291	24631	186253
292	24715	186163
293	24794	186041
294	24879	185961
295	24959	185846
296	25045	185774
297	25128	185682
298	25214	185607
299	25297	185516
300	25378	185407
301	25461	185312
302	25546	185232
303	25646	185258
